item_id,user_id,playtime_forever,posted,genres,release_date,recommend,sentiment_analysis,developer,tags,specs,title
10,Bennysaputra,24336.0,"Posted August 1, 2015.",['Action'],2000-11-01,True,0,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,shaman3soul3,12836.0,Posted August 16.,['Action'],2000-11-01,True,2,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,76561198015886143,144786.0,"Posted June 14, 2015.",['Action'],2000-11-01,True,1,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,lanatbeonakeehsasamokoshtan,33731.0,"Posted December 26, 2014.",['Action'],2000-11-01,True,2,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,76561198082737449,481.0,"Posted October 18, 2014.",['Action'],2000-11-01,True,1,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,TheRealChris02,619.0,"Posted February 17, 2015.",['Action'],2000-11-01,True,2,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,cumme,5359.0,"Posted December 8, 2015.",['Action'],2000-11-01,True,1,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,waspish,26622.0,"Posted April 7, 2012.",['Action'],2000-11-01,True,2,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,76561198076217855,3848.0,"Posted May 18, 2014.",['Action'],2000-11-01,True,1,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
10,76561198089673598,720.0,"Posted December 14, 2014.",['Action'],2000-11-01,True,1,Valve,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']","['Multi-player', 'Valve Anti-Cheat enabled']",Counter-Strike
